City,urban_environmental_variable,Distance,Sampling_Design,Distance_by_Sampling_Design,eta2_Predictor,eta2_Sampling_Design,eta2_Interaction,R2_adjusted
New_York,ISC,0,0.090939999999999993,0.04958,0.45689407947041905,0.005187374805517368,0.041569443009155604,0.45072655737642453
Newcastle,ISC,0.16913,0.83304,0.12755,0.259841455334027,0.11251846243994801,0.03594805437119808,0.31018575354127187
Norfolk,ISC,0,1e-5,1.7e-4,0.5619166094898408,0.07517144622553508,0.11517420048313104,0.5818382150119332
North_Bay,ISC,0,0,0,0.5663130687344983,0.05411176293382539,0.18754172103382044,0.597499882256455
Orangeville,ISC,0,0.04017,0.40201,0.5958118368939127,0.10335106206918841,0.02596584490401987,0.5936329596826301
Ottawa,ISC,0,0.08667,0.52376,0.4799982770260181,0.06676544820824244,0.01468876105795897,0.4792997950653747
Palmerston_North,ISC,0,0.01556,0.07918,0.6565497953326567,0.039218085496439216,0.04435147853803865,0.6508739251519597
Paris,ISC,0,0.44692,0.90483,0.5949414003922606,0.027563360789693042,0.002905821831137575,0.5854984485433113
Philadelphia,ISC,0,0,0,0.7186879721010427,0.0752268919434062,0.2607201596579456,0.7373589007031796
Pittsburgh,ISC,0,1e-5,1.9e-4,0.5469032331733508,0.06516622312721633,0.12279620931754588,0.5669077061760972
Portland_ME,ISC,0,0.10651,0.04406,0.35121159897330817,0.010275405708414362,0.05523468702422631,0.3483365908439955
Portland_OR,ISC,0,0,1e-5,0.7281197260910423,0.13039093633137488,0.16682057780128506,0.7398512114771584
Providence,ISC,0,0.50554,0.48187,0.5578042476396637,0.026975247825309235,0.015424341281412917,0.5469065556597974
Punta_Arenas,ISC,0,0,0,0.7319634554081147,0.2490835601328744,0.3429783866907109,0.7718314303098681
Quebec_City,ISC,0,0,1e-5,0.5423499928309327,0.36972753384829027,0.1539138841766865,0.6458385748416486
Quito,ISC,6.9e-4,0.02755,0.04534,0.4765427258862161,0.27607888892097676,0.050663887491064916,0.5541979414001605
Raleigh,ISC,0,0.01166,0.01715,0.22381352657866196,0.08671175173875773,0.06578721075788287,0.2797900015715311
Rancagua,ISC,0,0,0,0.7585359561158088,0.027197517610312784,0.34987088772991587,0.7773889828605509
Reading,ISC,0,1.3e-4,7.9e-4,0.5626745089549446,0.04398080648236461,0.09424575107730816,0.5726074158456111
Rennes,ISC,0,0.01096,0.03464,0.613999605252862,0.019234355009124928,0.053652068686866346,0.6082185684510414
Reutlingen,ISC,0,0,2e-5,0.5757367232926024,0.05664978245713457,0.15140820479432235,0.5969747686741582
Rochester,ISC,0,0.00121,0.04863,0.5359733720378349,0.08130396808936478,0.0534133172356406,0.5439294365497204
Rockford,ISC,0,8e-5,0.01506,0.5109466775488671,0.11210107417448335,0.06627406485375215,0.5334286319062432
Sacramento,ISC,0.12357,0.10034,5e-5,0.34582285853612676,0.15303693265171436,0.13209867369107034,0.439157997853416
Salem,ISC,0,0,0,0.7588749618365516,0.20055594514421649,0.22700822295493284,0.7769143261823207
Santa_Maria,ISC,0,6e-5,0.00259,0.5455408590781919,0.30792636750853447,0.22294980668720996,0.616338057608362
Santiago,ISC,0,0,2e-5,0.6847591899415111,0.19092908877341902,0.13892357510007503,0.7080351776765172
Sapporo,ISC,0,0.02664,0.01899,0.692660770701944,0.019213838726464073,0.05904371043422979,0.6873734689578287
Seattle,ISC,0,1.4e-4,0.00103,0.4337645667316156,0.03428078763657851,0.09486701636634959,0.4527732352740128
Shanghai,ISC,9e-5,2.5e-4,0.01476,0.4903379031641976,0.09083831969553958,0.06570406203790985,0.5097110657556452
Sioux_Falls,ISC,0,1.6e-4,1e-4,0.6217520121750817,0.042097193483478616,0.13804579537951445,0.6315506619840827
St_Louis,ISC,0,0.00275,0.03802,0.44654733388288925,0.08667335472202421,0.056630428561479935,0.4654764191495102
Stockholm,ISC,0,8.4e-4,0.01112,0.3309723667617545,0.060133035646656105,0.06496135272924679,0.3597537632946708
Stuttgart,ISC,0,3.1e-4,8.2e-4,0.26951600852545077,0.03301991747729282,0.08511466653179747,0.30659168126286285
Sudbury,ISC,9e-4,0.01149,0.81303,0.49081902662614324,0.26709243200277755,0.013217400327770747,0.5308695320008786
Sydney,ISC,1e-5,0.03079,0.02819,0.36910512983737337,0.024976382362690234,0.060125928060350414,0.37422606919722434
Tacoma,ISC,0,0.14644,0.08351,0.44375216831963793,0.06902661674531159,0.043867053275963235,0.45390238158960905
Talca,ISC,0,0,0,0.6518747017010366,0.20929258065811823,0.2758802374597172,0.702587758667814
Tampa,ISC,0.29863,0.81892,0.3415,0.2774696483810156,0.2822359880370384,0.06409092867051727,0.3823549686064317
Tehran,ISC,0.13451,0,6e-5,0.6273042968085251,0.11349730556483388,0.13417770059341294,0.6475386417226022
Temuco,ISC,0,0,0.00224,0.4825093489626106,0.2861632935180708,0.07246090125528118,0.5702630975570402
Thessaloniki,ISC,6e-5,2.7e-4,0.51718,0.46448829030430566,0.4742158570657329,0.013415281463225058,0.625689108368171
Tokyo,ISC,0,6.7e-4,0,0.6977342970105783,0.06472748275668855,0.19110421193548402,0.7137416246941566
Toluca,ISC,3e-5,0.19703,0.22889,0.6857606144995683,0.2566851857349966,0.053552261672898935,0.6959585918818829
Toronto,ISC,0,0.08126,0.11772,0.54866095273582,0.011361367587209356,0.03595903220592439,0.5390654981801383
Trondheim,ISC,0,5.7e-4,0.33363,0.6104686193360892,0.19517449230319076,0.022208738407800382,0.6305763739479924
Vancouver,ISC,0,1.4e-4,0.03128,0.45525392553268984,0.22312548023593035,0.05865570011697438,0.5204433168906843
Victoria,ISC,0,0.13912,0.19943,0.33930287906260226,0.015288774628276085,0.032773482734647766,0.327968904709496
Warsaw,ISC,0,0.72533,0.95638,0.5850636301189889,0.02608123924280063,0.0016740542663184325,0.574797150008373
Washington,ISC,0,0,0,0.37206008621729764,0.010637218994282629,0.1718581357458708,0.42487863513620006
Waterloo,ISC,0,0.01017,0.00374,0.4241260550911014,0.11092413717653458,0.11275297697020847,0.4656336764196113
Winnipeg,ISC,0,8.3e-4,0.00734,0.6067245109017223,0.03562790807770145,0.07000586867773285,0.6073682237241682
Wollongong,ISC,1e-5,0.10275,0.13699,0.2671434063219537,0.0176267010075792,0.03804875272046378,0.2621090615448348
Wuhan,ISC,0.00258,0.00572,0.01278,0.4550886485619245,0.021102814599888775,0.06759441265088074,0.4580928105054862
Zurich,ISC,0,2.3e-4,2.2e-4,0.4935224735803518,0.0096506150973908,0.12069070035999514,0.5067659675257616
Albuquerque,HII,0,0.40785,0.03168,0.638174835607205,0.03460883183262663,0.05696601212368577,0.6340355091482099
Almada,HII,0.7909,0.74169,0.17112,0.08351518770823738,0.012099485630052404,0.03150167264440358,0.08013714206543854
Amsterdam,HII,0,0.03732,0,0.33492967652788513,0.35083401949049675,0.20604039372773905,0.5460257597679169
Anchorage,HII,1e-5,0.12949,9.2e-4,0.3761607567993231,0.10884081374669255,0.09979506399470967,0.4308881688596429
Antwerp,HII,0,0.01613,0.00093000000000000005,0.44408110958455826,0.21980159248116105,0.10334549681372897,0.5233336338614598
Armidale,HII,0,0,0.64774,0.6473257805739459,0.507506869779505,0.01077216439659657,0.7301799370559294
Athens,HII,0,0.64246,0.04253,0.8521812443461062,0.08373222017906093,0.07666428704909849,0.8460070082630089
Atlanta,HII,0,0.6113,0.06753,0.4483295825089541,0.02275730533503008,0.04125641134212973,0.44575699315577566
Atlantic_City,HII,0.43795,1.5e-4,0,0.4417991646661289,0.07917003887062157,0.19022033201903757,0.5037396317779528
Baltimore,HII,0,0.10389,8e-5,0.4319559567717032,0.031069531673591447,0.1372670514808044,0.4630327655954737
Barrie,HII,5.7e-4,0.27607,2.5e-4,0.3737645514165085,0.18336851127070627,0.19089906069890042,0.4761268272609437
Baton_Rouge,HII,0.0429,0.08308,0.02386,0.4412665333654609,0.22854639986527592,0.05423473320893369,0.5141182336937071
Beijing,HII,0.1476,0.02341,0.01014,0.29456656827154976,0.16538264993529878,0.12001580909004732,0.3838584048745787
Berlin,HII,1.9e-4,0.0127,0,0.5052495878640031,0.20231061617802332,0.21484162406367407,0.5859798358114368
Bern,HII,0,0.4493,0.62797,0.5757873558305054,0.027251811057227137,0.011274918801973444,0.563675132805211
Bogota,HII,0.55432,0.33493,0.00802,0.16975698431940325,0.16276913280261582,0.07603756415595604,0.2931425416128487
Boston,HII,0,3.7e-4,0.0018600000000000001,0.5019146628516172,0.057503404572067957,0.08689161084613906,0.5181375553426879
Brantford,HII,1e-5,0.01265,0.0144,0.5144030984443356,0.010544349413699345,0.09785205957574807,0.5094536931846768
Brighton,HII,0,0.01895,0,0.5408024226680259,0.344732796877746,0.34724142808300373,0.6759311854938499
Brussels,HII,1e-4,0.21473,0.00603,0.4806718314307862,0.11153744157570748,0.10645069571756867,0.5098985163313919
Buenos_Aires,HII,0,0.92802,0.00374,0.6612582654431091,0.13914621371810093,0.07464739011528389,0.6742863203712901
Burlington,HII,2e-5,0.06572,0,0.6355931352148799,0.15785939364900822,0.18559550066724148,0.6725289612313027
Calgary,HII,0,0.0909,0.00102,0.734669673519186,0.10321594362905041,0.09968628401224716,0.7382900247410475
Cambridge,HII,0,0.90922,0.00369,0.7314947862169344,0.13504532869985544,0.08628529857947824,0.736601280652835
Canberra,HII,0.58642,0.59543,2.8e-4,0.1536407231062818,0.21217369006686448,0.11826682484099293,0.33963272793937394
Cape_Town,HII,0.05929,0.03583,0.00505,0.4812564387711853,0.03251544308100509,0.16205608890375492,0.4907867909703245
Charlotte,HII,0,0.01573,0.00863,0.5806881456735765,0.059675168479806674,0.07363639439024092,0.586182560231973
Charlottetown,HII,0,0.10669,0.26051,0.621171525282177,0.05414501552235395,0.024668261020880884,0.616586078694353
Chicago,HII,0.01157,0.02257,1.7e-4,0.4093859281197931,0.06402786005835803,0.10708341538305183,0.44736631366524393
Christchurch,HII,0.01182,0.00169,0.06476,0.6334384238888107,0.4390234177390376,0.04633796752178937,0.7061030522230872
Cincinnati,HII,0,0.51247,0.5425,0.6243110257812631,0.014442738575246422,0.014070586668095391,0.6111209668804504
Cleveland,HII,0,0.11079,0,0.565576229056093,0.19395268764417803,0.16858321387438316,0.61999983736223
Cologne,HII,0.00269,0.55598,0.00842,0.5492352887478599,0.08472171504841616,0.10903512409687639,0.5605699072933505
Curitiba,HII,0,0.00223,0.04106,0.8600876121299752,0.07087440264260055,0.06174428059030711,0.8553706847809824
Denver,HII,0,0.11147,0.67467,0.7124526843771152,0.10614646290194844,0.009447480312635542,0.7106254202018174
Detroit,HII,0,0.83278,0.46816,0.5174225722265082,0.044127275549292404,0.01695701711864556,0.5096050869002391
Edmonton,HII,0,0.48644,0.10342,0.5609557440084337,0.02187639592745675,0.034963366171398,0.5546481301049584
Fairbanks,HII,0,0.06011,3e-4,0.6356403153903063,0.16715425417908394,0.11799831683707311,0.6599641583656634
Fergus,HII,0,0.2614,0.002,0.8367280605654467,0.12428590865163955,0.1846466958103204,0.8310182029992755
Frankfurt,HII,0,0.78902,0.08296,0.5464391647147224,0.10191668727433191,0.04256311161577846,0.5573938249007457
Fredericton,HII,0.2561,0.00656,0,0.5881345798759374,0.5931436063415783,0.3775444149844003,0.7669435583669961
Freehold,HII,0,0.88705,3.1e-4,0.08127842957810769,0.17589880151698414,0.09808375003495383,0.26369778954655065
Ghent,HII,0,0.35804,2e-4,0.5740003238500805,0.1527379778203065,0.11570117509902064,0.6072925385502753
Glasgow,HII,0,0.97786,0.28949,0.6692859894991283,0.06624839621410063,0.024951512654161217,0.6643599835728339
Guelph,HII,2e-4,0.42524,0.0117,0.6262478974398589,0.2783218633853323,0.14085150708081368,0.659794267896294
Halifax,HII,0.00119,0.30992,0.00558,0.5815336352124846,0.2457694350060979,0.08638930532242386,0.6262186062862395
Halle,HII,0,0.50299,0.00624,0.5752280006039361,0.14848332519434823,0.07935995585385994,0.5995916217438307
Helsinki,HII,0,0.50911,0.74621,0.4862196718860822,0.021050595398573114,0.008829850123428849,0.4684635889064095
Hempstead,HII,1e-5,0.5026,0.01111,0.0873024528654319,0.15477365829355125,0.07713798914458547,0.22874323671192864
Hiroshima,HII,0,0.14669,0.56859,0.5774900470000381,0.11617287971115353,0.011907354334284062,0.5850432849673242
Houston,HII,4e-5,0.5391,0.00986,0.6072293626018468,0.14916962041184628,0.06720621474199956,0.626637767486417
Indianapolis,HII,0.05817,0.34561,0.0466,0.32709711261884794,0.08536565155239018,0.0405654826942631,0.36088641301309166
Jacksonville,HII,9e-5,0.88944,0.00287,0.5666886032361115,0.12530631595845498,0.09132304548631795,0.5892935785344479
Kalamazoo,HII,0,0.02901,0,0.3084399678959995,0.11226234166071668,0.1930159856189695,0.4219087076061827
Kunming,HII,0,0.58559,0.24477,0.5591085506110715,0.010601543430395084,0.021710086673668787,0.5493179231505452
Kyoto,HII,0.01582,0.57291,0,0.17934876352106444,0.31799761654800357,0.15344563633361685,0.44138108597769077
Lake_Charles,HII,0,0.50653,0.52615,0.6219866522093431,0.03529381128254254,0.015103780090646298,0.6114879035012275
Landshut,HII,0,0.44518,0.02178,0.6476010586359839,0.22063467402890008,0.050170369985091216,0.6731061514418873
Lansing,HII,0,0.2402,0.13617,0.5529026299600531,0.16486805990381154,0.035918297360704454,0.5765999328265603
Lanzhou,HII,0,0.06933,0.52536,0.4171456657538012,0.04939001731580745,0.014731945867782705,0.4128436177196779
Latacunga,HII,0,2.1e-4,0.0316,0.5478123379520854,0.14571859892988004,0.0573724144156951,0.5714210311511161
Leuven,HII,0,0.86429,0.02709,0.6468452447481329,0.12086243196062545,0.07329235134133459,0.652799099823528
Linkoping,HII,2e-5,0.38243,0.01874,0.4428138503839303,0.34557116447233077,0.05784355245819035,0.5629871125476738
Lisbon,HII,0,0.60455,0.06912,0.495458324360459,0.055002966392696966,0.03749348415573083,0.5008367668720533
Little_Rock,HII,0.28325,0.15012,0.00438,0.08064513517864373,0.022015712664907237,0.09565621448257029,0.13335359059303087
London,HII,0.00133,0.36869,0,0.5110481702489705,0.5718971070146555,0.21922575705680805,0.714170620902108
Los_Angeles,HII,0.76533,0.01273,2e-5,0.16377708821086795,0.06862257738694218,0.14644281778322482,0.27474738383680597
Louisville,HII,0,0.93432,0.19658,0.7005603837070251,0.07297519105640453,0.02678000477495523,0.6979815399805368
Madison,HII,0.0716,0.00169,0,0.2304429683838565,0.028315868931264955,0.14029731058549777,0.30534827112303353
Manchester,HII,0,0.72741,0.07676,0.56915406467867,0.05580983877409099,0.04450977269453042,0.568688513445333
Medellin,HII,0.20547,0.91721,0,0.35221215288305685,0.5106244983621515,0.19480445643045122,0.6299208690444611
Melbourne,HII,1.1e-4,0.44722,0.20047,0.6455231369562472,0.08931531523258185,0.038368965157361316,0.6420040270787829
Memphis,HII,0,0.38697,0.2061,0.4297240901654508,0.05354333875697247,0.024080976758293772,0.4345750081965539
Mexico_City,HII,0,0.0287,0.00243,0.43028466698120243,0.01668084284601861,0.11336543586086177,0.4427499064306287
Minneapolis,HII,0,0.13644,0.25936,0.5963887507500318,0.010062764237574006,0.02399486988337347,0.5850852046910741
Moncton,HII,0,0.27476,0.2308,0.5267487388858125,0.05294653385294053,0.028544422801944237,0.5235946116918284
Montreal,HII,0.00131,0.27109,0,0.4039394098587552,0.2709596022679391,0.20009604002476328,0.5482105659676444
Morelia,HII,0.15796,0.10666,0,0.5943586364652927,0.29425494988476153,0.24589647886707458,0.6737579621928813
Muenster,HII,0,0.99168,0.85443,0.7208798418631259,0.03228253201618833,0.004998688725065116,0.711366700310039
Munich,HII,0.72721,0.02674,0,0.3871126463468217,0.19112046485859185,0.22457086787470876,0.5196038849014398
New_Haven,HII,0,0.04002,0,0.5851118535907173,0.23584204719861748,0.22180332975950467,0.6514644972672463
New_York,HII,1.4e-4,0.66736,0.099030000000000007,0.4538049139923497,0.18948985896564854,0.03397582435032292,0.5053483995741566
Newcastle,HII,0.01733,0.87905,0.04329,0.45791775676951124,0.18528845532286917,0.05162196452420554,0.508251532637989
Norfolk,HII,3e-5,0.68257,0.4781,0.4227347356525836,0.0597355210724584,0.015266422960909314,0.4239190088686575
North_Bay,HII,0,0.1152,2e-5,0.6214142401165581,0.169159510962777,0.13989997162408965,0.6528785527203951
Orangeville,HII,7e-5,0.08653,0.13042,0.5394539419441258,0.4117136156747634,0.04933925831364425,0.6363218861625722
Ottawa,HII,2e-5,0.85919,0.22184,0.36722370614862676,0.1050468737430453,0.02859433662598351,0.3941710814150611
Palmerston_North,HII,0.00532,0.23768,0,0.2022099208565776,0.20577134817045203,0.18905149429660828,0.40024173056266354
Paris,HII,0,0.80869,0.63134,0.4163235247468837,0.07372041744898321,0.008876229659245375,0.42487667890403347
Philadelphia,HII,0,0.74585,0.33627,0.637871943553977,0.05153631513467919,0.022674122271019625,0.6309889342901867
Pittsburgh,HII,0,0.61759,0.20522,0.6512770778093275,0.08226004781269401,0.02997707110990318,0.6497267041652357
Portland_ME,HII,0.01095,0,0,0.1592858223623662,0.11776763684273411,0.2900009580424858,0.39203644677006444
Portland_OR,HII,0,0.07676,0,0.6890904420997689,0.32153070763182395,0.233292630409483,0.7376565230110712
Providence,HII,0,0.12978,0.00522,0.6802532308928825,0.022683356955711997,0.07967524396097883,0.6769637373475157
Punta_Arenas,HII,0,0.03874,0.41695,0.6742738372865454,0.1808134039070427,0.021206676184173087,0.6820995231666074
Quebec_City,HII,0.16815,0.83473,6e-5,0.4404927429311087,0.25466232535630257,0.13655999161129692,0.5424996514964957
Quito,HII,0.03345,0.09472,1.7e-4,0.3641063546600814,0.04530769949096826,0.12126669694194096,0.4053327481669985
Raleigh,HII,0,0.08926,4e-5,0.5186050031214268,0.09684990749562636,0.14131607088669182,0.5543068604996857
Rancagua,HII,0,0.02008,4e-5,0.6844705056372488,0.025734365257532064,0.1443372993185836,0.6885170999159087
Reading,HII,0,0.70524,0.38555,0.48380132530350767,0.06900886454270516,0.01777351904061378,0.48684810902471687
Rennes,HII,0,0.38463,0.0216,0.6204387214024346,0.19339043709234197,0.05991159147195797,0.6443725249300831
Reutlingen,HII,0,0.19283,0.01907,0.5510699982438203,0.013633794072840981,0.06310898907277597,0.5469085751531588
Rochester,HII,0,0.9199,0.69058,0.5468472954624768,0.07648560477400414,0.010151165413909043,0.5439020131334258
Rockford,HII,0,0.36087,0.49119,0.4395538912109888,0.24927053206333755,0.015699793598421406,0.5094208003325971
Sacramento,HII,0,0.19575,0,0.6020305433832313,0.3141930235758865,0.17197980682545566,0.671544762048212
