Country,City,GLUE_Transect_N,Random_Points_N,Systematic_Points_N,Random_Transect_N,RT_Minus_GLUE,Adjusted_Random_Points,Adjusted_Systematic_Points,Random_Transect_Percent_Deficit
Brazil,Santa_Maria,16,16,16,16,0,0,0.188,0
Chile,Santiago,44,44,42,44,0,0,0.182,0
Japan,Sapporo,44,41,42,44,0,0.023,0.273,0
USA,Seattle,40,40,34,39,-1,0.3,0.6,-2.5
China,Shanghai,41,38,37,41,0,0.171,0.39,0
USA,Sioux_Falls,38,38,36,38,0,0,0.211,0
USA,St_Louis,40,38,36,38,-2,0,0.225,-5
Sweden,Stockholm,45,44,42,41,-4,0.133,0.378,-8.889
Germany,Stuttgart,50,50,45,50,0,0,0.2,0
Canada,Sudbury,20,19,20,19,-1,0,0.3,-5
Australia,Sydney,40,39,36,40,0,0.05,0.225,0
USA,Tacoma,40,37,36,40,0,0.175,0.425,0
Chile,Talca,40,40,39,40,0,0,0.225,0
USA,Tampa,15,13,12,15,0,0.599,0.733,0
Iran,Tehran,40,40,42,40,0,0,0.225,0
Chile,Temuco,50,50,51,50,0,0,0.26,0
Greece,Thessaloniki,44,46,38,44,0,0.296,0.636,0
Japan,Tokyo,50,43,47,50,0,0.42,0.34,0
Mexico,Toluca,22,22,21,22,0,0,0.227,0
Canada,Toronto,43,28,30,43,0,1,1.162,0
Norway,Trondheim,41,35,28,40,-1,0.633,1.146,-2.439
Canada,Vancouver,40,41,28,38,-2,0.325,1.125,-5
Canada,Victoria,40,28,20,40,0,1.2,1.675,0
Poland,Warsaw,50,50,47,50,0,0.02,0.26,0
USA,Washington,45,46,43,44,-1,0.045,0.289,-2.222
Canada,Waterloo,30,30,30,30,0,0,0.167,0
Canada,Winnipeg,43,43,44,43,0,0,0.302,0
Australia,Wollongong,40,31,27,40,0,0.9,1.2,0
China,Wuhan,41,46,39,41,0,0.073,0.317,0
Switzerland,Zurich,40,39,39,40,0,0.025,0.275,0
