Continent,Country,City,City_Latitude,City_Longitude,City_Area,Human_Population_Size,Human_Population_Density,City_Age,Number_Nearby_Cities
North America,USA,Sioux_Falls,43.546,-96.728,148.12,153972,1039.509,11,1
North America,USA,St_Louis,38.627,-90.198,1679.01,319275,190.157,161,3
Europe,Sweden,Stockholm,59.329,18.069,453.5,962154,2121.619,156,2
Europe,Germany,Stuttgart,48.777,9.181,160.13,634830,3964.466,140,5
North America,Canada,Sudbury,46.492,-80.994,123.39,161531,1309.109,21,1
Oceania,Australia,Sydney,-33.815,151.001,1618.04,25798,15.944,0,3
North America,USA,Tacoma,47.25,-122.44,1764.38,198243,112.358,57,3
South America,Chile,Talca,-35.428,-71.655,35.43,237295,6697.573,45,1
North America,USA,Tampa,27.947,-82.459,165.9,336154,2026.245,68,5
Asia,Iran,Tehran,35.689,51.417,1163.44,8693706,7472.415,120,3
South America,Chile,Temuco,-38.74,-72.59,41.1,236377,5751.265,40,1
Europe,Greece,Thessaloniki,40.64,22.944,144.17,315196,2186.28,118,1
Asia,Japan,Tokyo,35.689,139.692,6185.82,9272740,1499.032,411,1
North America,Mexico,Toluca,19.292,-99.656,305.24,2260149,7404.498,53,2
North America,Canada,Toronto,43.653,-79.383,1646.97,2731571,1658.543,145,6
Europe,Norway,Trondheim,63.43,10.395,62.95,170936,2715.425,19,1
North America,Canada,Vancouver,49.283,-123.121,697.06,672963,965.431,96,3
North America,Canada,Victoria,48.428,-123.366,111.51,92041,825.406,0,2
Europe,Poland,Warsaw,52.23,21.012,422.21,1777972,4211.108,693,3
North America,USA,Washington,38.907,-77.037,2077.09,601766,289.716,146,9
North America,Canada,Waterloo,43.464,-80.52,221.21,104986,474.599,0,6
North America,Canada,Winnipeg,49.895,-97.138,332.49,711925,2141.192,106,1
Oceania,Australia,Wollongong,-34.424,150.894,163.53,261897,1601.523,22,5
Asia,China,Wuhan,30.601,114.296,1603.94,7541527,4701.876,241,3
Europe,Switzerland,Zurich,47.377,8.542,318.56,415367,1303.889,120,5
