Continent,Country,City,City_Latitude,City_Longitude,Population,Population_Latitude,Population_Longitude,Maximum_Distance
North America,Canada,Toronto,43.653225,-79.383186,103,43.9246411,-79.0700785,47.5842
North America,Canada,Toronto,43.653225,-79.383186,104,43.8900559,-79.0658662,47.5842
North America,Canada,Toronto,43.653225,-79.383186,105,43.9022707,-79.0977703,47.5842
North America,Canada,Toronto,43.653225,-79.383186,106,43.8943427,-79.1301144,47.5842
North America,Canada,Toronto,43.653225,-79.383186,107,43.8912035,-79.1436697,47.5842
North America,Canada,Toronto,43.653225,-79.383186,108,43.8813535,-79.1459361,47.5842
North America,Canada,Toronto,43.653225,-79.383186,109,43.8649423,-79.1741051,47.5842
North America,Canada,Toronto,43.653225,-79.383186,110,43.8536624,-79.1802938,47.5842
North America,Canada,Toronto,43.653225,-79.383186,111,43.8500703,-79.1934769,47.5842
North America,Canada,Toronto,43.653225,-79.383186,112,43.8447454,-79.2166732,47.5842
North America,Canada,Toronto,43.653225,-79.383186,113,43.839808,-79.2314529,47.5842
North America,Canada,Toronto,43.653225,-79.383186,114,43.8378433,-79.2492196,47.5842
North America,Canada,Toronto,43.653225,-79.383186,115,43.8343031,-79.2624208,47.5842
North America,Canada,Toronto,43.653225,-79.383186,116,43.8325183,-79.2734916,47.5842
North America,Canada,Toronto,43.653225,-79.383186,117,43.8285388,-79.2874633,47.5842
North America,Canada,Toronto,43.653225,-79.383186,118,43.8248202,-79.3029232,47.5842
North America,Canada,Toronto,43.653225,-79.383186,119,43.8254553,-79.3185917,47.5842
North America,Canada,Toronto,43.653225,-79.383186,120,43.7469272,-79.3083574,47.5842
North America,Canada,Toronto,43.653225,-79.383186,121,43.7414388,-79.3184284,47.5842
North America,Canada,Toronto,43.653225,-79.383186,122,43.7387551,-79.3370256,47.5842
North America,Canada,Toronto,43.653225,-79.383186,123,43.7389678,-79.3515355,47.5842
North America,Canada,Toronto,43.653225,-79.383186,124,43.7348303,-79.3576571,47.5842
North America,Canada,Toronto,43.653225,-79.383186,125,43.7322003,-79.372129,47.5842
North America,Canada,Toronto,43.653225,-79.383186,126,43.7281888,-79.3920612,47.5842
North America,Canada,Toronto,43.653225,-79.383186,127,43.7214697,-79.4092544,47.5842
North America,Canada,Toronto,43.653225,-79.383186,128,43.7222611,-79.4265819,47.5842
