Site_ID,UID,Country,City,Mean_NDVI,Min_NDVI,Max_NDVI
29,Toronto.29,Canada,Toronto,3257.426086956522,81.4,6176.8
30,Toronto.30,Canada,Toronto,2586.269565217391,-118,4699
31,Toronto.31,Canada,Toronto,3757.8521739130433,-446.8,6183
32,Toronto.32,Canada,Toronto,2510.4608695652173,-553.4,4555.2
33,Toronto.33,Canada,Toronto,3596.521739130435,262.2,5844.4
34,Toronto.34,Canada,Toronto,3163.7391304347825,163.4,5220.2
35,Toronto.35,Canada,Toronto,3714.8434782608697,317,6017.8
36,Toronto.36,Canada,Toronto,3494.782608695652,129.8,5670.2
37,Toronto.37,Canada,Toronto,2413.6521739130435,106,4850.8
38,Toronto.38,Canada,Toronto,2904.478260869565,209.2,5418.8
39,Toronto.39,Canada,Toronto,2571.365217391304,54.6,4934.6
40,Toronto.40,Canada,Toronto,2669.582608695652,55,4856.6
41,Toronto.41,Canada,Toronto,2428.104347826087,-93.2,4506.8
42,Toronto.42,Canada,Toronto,2015.5043478260868,-146.6,4019.8
43,Toronto.43,Canada,Toronto,2569.7391304347825,-158.2,4871.6
44,Toronto.44,Canada,Toronto,2573.295652173913,-77.2,5407.2
45,Toronto.45,Canada,Toronto,4487.304347826087,-142.8,7202.2
46,Toronto.46,Canada,Toronto,2441.7652173913043,-18.2,4421.6
47,Toronto.47,Canada,Toronto,2169.878260869565,-50.8,4797.2
48,Toronto.48,Canada,Toronto,1486.6173913043478,-82.2,3979
49,Toronto.49,Canada,Toronto,1973.086956521739,-53.6,4151.8
50,Toronto.50,Canada,Toronto,2723.7478260869566,-161.4,5072.4
51,Toronto.51,Canada,Toronto,2988.182608695652,-15,5924
52,Toronto.52,Canada,Toronto,2766.0521739130436,-70,5425
53,Toronto.53,Canada,Toronto,2109.895652173913,-109,3903.4
54,Toronto.54,Canada,Toronto,2182.095652173913,-100.2,4080.8
55,Toronto.55,Canada,Toronto,3222.6521739130435,194.4,6072.4
56,Toronto.56,Canada,Toronto,3144.478260869565,78.8,4989
57,Toronto.57,Canada,Toronto,4499.51304347826,329.4,7512.8
58,Toronto.58,Canada,Toronto,3836.130434782609,197.6,6302.2
59,Toronto.59,Canada,Toronto,2694,81.6,4674
60,Toronto.60,Canada,Toronto,2818.4,-154.8,4459.4
61,Toronto.61,Canada,Toronto,3021.6260869565217,-157.4,5129.4
62,Toronto.62,Canada,Toronto,3543.6608695652176,-109.6,7418.4
63,Toronto.63,Canada,Toronto,3806.6521739130435,-64.2,7222.4
64,Toronto.64,Canada,Toronto,3640.0521739130436,-41,6599
65,Toronto.65,Canada,Toronto,3802.9478260869564,-72.6,7895.4
66,Toronto.66,Canada,Toronto,3554.008695652174,187.8,6362.8
67,Toronto.67,Canada,Toronto,4470.026086956522,-80.8,7580.4
68,Toronto.68,Canada,Toronto,4445.547826086957,69,7394.6
69,Toronto.69,Canada,Toronto,4567.730434782608,-34.2,7301.8
70,Toronto.70,Canada,Toronto,4300.704347826087,-44.8,7305.4
71,Toronto.71,Canada,Toronto,4768.921739130435,65.4,7566.4
72,Toronto.72,Canada,Toronto,4958.104347826087,-100.8,7723.4
73,Toronto.73,Canada,Toronto,5051.860869565217,-74.8,7734.8
74,Toronto.74,Canada,Toronto,3929.721739130435,25.6,8326.6
75,Toronto.75,Canada,Toronto,5395.652173913044,59.6,8448
76,Toronto.76,Canada,Toronto,5571.669565217391,59.4,8457.4
77,Toronto.77,Canada,Toronto,3524.608695652174,16.4,5680.2
78,Toronto.78,Canada,Toronto,3660.2347826086957,67.8,5745.8
79,Toronto.79,Canada,Toronto,4196.747826086957,154.2,6465
80,Toronto.80,Canada,Toronto,3758.6,170.8,5829.4
81,Toronto.81,Canada,Toronto,3624.026086956522,345,5689.6
82,Toronto.82,Canada,Toronto,2419.1304347826085,66.4,4622.4
83,Toronto.83,Canada,Toronto,2826.6260869565217,126,4929.6
84,Toronto.84,Canada,Toronto,3732.026086956522,231.8,5950.2
85,Toronto.85,Canada,Toronto,2213.9913043478264,73.2,4509.4
86,Toronto.86,Canada,Toronto,3499.8608695652174,-82.8,6208.4
87,Toronto.87,Canada,Toronto,2460.1565217391303,-9.6,4117.2
88,Toronto.88,Canada,Toronto,3074.513043478261,40.6,5612.4
89,Toronto.89,Canada,Toronto,3769.0695652173913,-46,6645.2
90,Toronto.90,Canada,Toronto,5201.113043478261,129.8,8126
91,Toronto.91,Canada,Toronto,4437.313043478261,-27.8,8232.6
92,Toronto.92,Canada,Toronto,4145.382608695652,145.2,7853
93,Toronto.93,Canada,Toronto,4430.521739130435,-39.8,7926.6
94,Toronto.94,Canada,Toronto,4486.704347826087,-33.4,7844.4
95,Toronto.95,Canada,Toronto,5038.834782608696,419.4,7885
96,Toronto.96,Canada,Toronto,5357.826086956522,586,8019.4
97,Toronto.97,Canada,Toronto,5340.147826086956,454,7805.4
98,Toronto.98,Canada,Toronto,4823.286956521739,429.2,8089.2
99,Toronto.99,Canada,Toronto,4066.817391304348,-139.4,8079.8
100,Toronto.100,Canada,Toronto,4624.234782608695,246.8,8307.2
101,Toronto.101,Canada,Toronto,5052.060869565217,50.6,8366.8
102,Toronto.102,Canada,Toronto,3510.0695652173913,-112.4,8095.6
103,Toronto.103,Canada,Toronto,3627.0347826086954,-82.4,7518.6
104,Toronto.104,Canada,Toronto,4975.060869565217,91.4,7522
105,Toronto.105,Canada,Toronto,4465.24347826087,-98.8,7908.4
106,Toronto.106,Canada,Toronto,4352.539130434782,141.2,7128.4
107,Toronto.107,Canada,Toronto,3239.0695652173913,-8,5381.8
108,Toronto.108,Canada,Toronto,2489.8956521739133,-117.8,4475.2
109,Toronto.109,Canada,Toronto,3415.817391304348,47.8,6184
110,Toronto.110,Canada,Toronto,3087.008695652174,-7.8,4948.8
111,Toronto.111,Canada,Toronto,1481.7826086956522,-15.2,2863.8
112,Toronto.112,Canada,Toronto,3501.269565217391,125,5740.8
113,Toronto.113,Canada,Toronto,3760.0521739130436,118.6,6016
114,Toronto.114,Canada,Toronto,2722.6782608695653,106.6,4769.2
115,Toronto.115,Canada,Toronto,4318.686956521739,441.6,6897.2
116,Toronto.116,Canada,Toronto,4555.539130434782,299,6798.4
117,Toronto.117,Canada,Toronto,4183.304347826087,406.4,6765.6
118,Toronto.118,Canada,Toronto,5204.773913043478,863.2,7418
119,Toronto.119,Canada,Toronto,4221.026086956522,340.6,6594.2
120,Toronto.120,Canada,Toronto,3614.9304347826087,-509.6,5870.4
121,Toronto.121,Canada,Toronto,3670.365217391304,301.8,5895.6
